,twitter_id,username,screenname,text,created_at,retweet_count,location,followers,friends,polarity
0,1279290090099892224,Kevin Harper,kevshat,"We've previewed today's #PremierLeague matches here - https://t.co/G2f2e23fCu

#football #betting #tips #EPL… https://t.co/JJnef2CnIp",2020-07-04 05:45:00,0,Luton,1296,1429,0.0
1,1279289838450151424,Profit Booster UK,ProfitBoosterUK,"Leicester City v Crystal Palace 

Preview, Prediction &amp; Best Odds

Written by Mark Bolton

Here &gt;… https://t.co/qPBooBL97p",2020-07-04 05:44:00,0,,41808,9910,0.6369
